destination_id,status,verification_status,kb_alignment_status,formula_class,resolver,contributor_count,ep_compare_status,ep_relative_delta_pct,final_value,display_value,notes
mechanic_param::uw.black_hole.duration_seconds,resolved,publishable,not_ep_compared,,uw_duration_param,,,,48.0,,
mechanic_param::uw.black_hole.cooldown_seconds,resolved,publishable,not_ep_compared,,cooldown_param,,,,46.0,,
capability::uw.spotlight.owned,resolved,publishable,not_ep_compared,,standard_bool,,,,True,,
mechanic_param::uw.spotlight.bonus_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,33.15,,
mechanic_param::uw.spotlight.angle_degrees,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,55.1,,
mechanic_param::uw.spotlight.count,resolved,publishable,not_ep_compared,,integer_count_param,,,,3.0,,
mechanic_param::uw_plus.chain_lightning.smite,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw_plus.smart_missiles.cover_fire,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw_plus.death_wave.kill_wall,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw_plus.chrono_field.chrono_loop,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw_plus.inner_land_mines.charged_mines,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw_plus.golden_tower.golden_combo,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw_plus.poison_swamp.death_creep,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw_plus.black_hole.consume,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw_plus.spotlight.light_range,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
runtime_mechanic_param::cards.plasma_cannon.effect_pct,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,54.0,,
runtime_mechanic_param::cards.wave_skip.chance_pct,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,19.0,,
runtime_mechanic_param::cards.wave_accelerator.spawn_rate_acceleration,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,54.0,,
runtime_mechanic_param::cards.critical_coin.bonus_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,33.0,,
capability::capability.second_wind.enabled,resolved,publishable,not_ep_compared,,capability_passthrough,,,,True,,
capability::capability.energy_shield.enabled,resolved,publishable,not_ep_compared,,capability_passthrough,,,,True,,
runtime_mechanic_param::cards.land_mine_stun.miss_attack_chance_pct,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,3.8,,
runtime_mechanic_param::uw.smart_missiles.extra_missiles,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,4.0,,
environment_param::enemy.boss.health_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,9.84,,
environment_param::enemy.boss.speed_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,1.5,,
environment_param::enemy.damage_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.44999999999999996,,
runtime_mechanic_param::uw.inner_land_mines.extra_sets,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,1.0,,
runtime_mechanic_param::perk.free_upgrade_chance_all_pct,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,31.25,,
runtime_mechanic_param::perk.max_game_speed,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,1.25,,
runtime_mechanic_param::perk.wave_requirement_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.2500000000000002,,
environment_param::enemy.ranged.damage_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,3.0,,
runtime_mechanic_param::uw.poison_swamp.radius_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,1.5,,
capability::capability.random_uw_unlock.enabled,resolved,publishable,not_ep_compared,,capability_passthrough,,,,True,,
runtime_mechanic_param::perk.enemy_kill_cash_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::module.amplifying_strike.tower_damage_5x_duration_s,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
mechanic_param::module.sharp_fortitude.wall_health_regen_mult_x,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,2.5,,
mechanic_param::module.orbital_augment.electrons_count,resolved,publishable,not_ep_compared,,integer_count_param,,,,2.0,,
mechanic_param::module.singularity_harness.bot_range_bonus_m,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,15.0,,
mechanic_param::module.black_hole_digestor.extra_coin_kill_bonus_per_free_upgrade_pct,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.30000000000000004,,
mechanic_param::module.primordial_collapse.in_bh_enemy_damage_reduction_pct,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,80.0,,
mechanic_param::module.dimension_core.max_shock_stacks,resolved,publishable,not_ep_compared,,integer_count_param,,,,5.0,,
raw::Starting Cash,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Workshop Attack Discount,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Workshop Defense Discount,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Workshop Utility Discount,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Labs Coin Discount,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Buy Multiplier,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::More Round Stats,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Target Priority,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Card Presets,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Workshop Respec,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Reroll Daily Mission,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Workshop Enhancements,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Enhancement Attack - Coin Discount,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Enhancement Defense - Coin Discount,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Enhancement Utility - Coin Discount,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Max Interest,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Extra Orb Adjuster,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Unlock Perks,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Auto Pick Perks,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Standard Perks Bonus,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Perk Option Quantity,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::First Perk Choice,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Ban Perks,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Improve Trade-off Perks,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Auto Pick Ranking,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Common Drop Chance,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Reroll Shards,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Daily Mission Shards,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Module Shards Cost,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Module Coin Cost,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Rare Drop Chance,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Unmerge Module,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Shatter Shards,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Cannon Effect Bans,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Armor Effect Bans,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Generator Effect Bans,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Core Effect Bans,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Assist Module Substats - Cannon,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Assist Module Substats - Armor,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Assist Module Substats - Generator,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Assist Module Substats - Core,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Assist Module Bonus - Cannon,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Assist Module Bonus - Armor,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Assist Module Bonus - Generator,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Assist Module Bonus - Core,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Damage Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Attack Speed Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Health Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Health Regen Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Range Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Cash Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Coins Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Slow Aura Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Critical Chance Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Enemy Balance Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Extra Defense Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Fortress Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Free Upgrades Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Extra Orb Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Plasma Cannon Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Critical Coin Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Wave Skip Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Intro Sprint Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Land Mine Stun Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Recovery Package Chance Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Death Ray Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Energy Net Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Super Tower Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Second Wind Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Demon Mode Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Energy Shield Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Wave Accelerator Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Berserker Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Ultimate Crit Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Nuke Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Area of Effect Mastery,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Fast's Ultimate,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Ranged Ultimate,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Boss's Ultimate,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Basic's Ultimate,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Tank's Ultimate,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Protector's Ultimate,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::END OF ARRAY,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Keys spent,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Total Bonuses,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Misc.,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Attack,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Defense,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Utility,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
raw::Unlocks,unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
"raw::Ranged Enemies Attack Distance Reduced, But Tower Ranged Enemies Damage x3::effect_1",unmapped,trace_only,not_ep_compared,,integer_count_param,,,,,,
canonical_stat::coin_kill_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,41.8389654375,,
canonical_stat::all_coin_bonus_multiplier,resolved,blocked,not_ep_compared,,standard_scalar_stat,,,,1254.785425370725,,
