Labs,https://docs.google.com/spreadsheets/d/12pUOKCb_Hujh8m7ndehZLuVlIfUaGblVx56BqYTdmkw/edit,?,v3.4.1,WS,https://docs.google.com/spreadsheets/d/1TfTfknEF_TivxBMDS9-J0NFa2Di1zG3TOz185ekGSyU/edit,?,v3.2.1,,,,,,,,,,WS+,,,,,,,,UWs,https://docs.google.com/spreadsheets/d/11zOUaRyKSrDTkgIHv5MJ_VmS869PqQksvb64-Z_Jk94/edit,?,v3.3.1,,,Cards,https://docs.google.com/spreadsheets/d/1eBwSz-QEwQPEnng5AO8SZyDO1ks4YwN8VhcdRPzOuCg/edit,?,Cards Presets,v3.2.1,19,,,"Themes, Songs & Relics",https://docs.google.com/spreadsheets/d/1--5EhNGZXpr4N6czLyY2vMHyEfMgVoWWg7eyoHQqwOA/edit,?,Vault,https://docs.google.com/spreadsheets/d/17MpFBbmlppwYX8PcY58EJ5p4etBNf65JqCZeYgSgRtQ/edit,?,Bots,https://docs.google.com/spreadsheets/d/1QOs6dBavGyYDEkA4rWSorLzArDt8Te_Mx725-7YXuvc/edit,?,v3.3.1,,,,,,,,,Modules,https://docs.google.com/spreadsheets/d/1A4jDDOKNsy0FkNSR1WxzhkLl06UFd7TlVEVxLdRJVyo/edit,?,eHP GComp Farm,GC GComp OC,Utility Disco eHP,Utility Disco GC,UW Disco GC,,,,,,,,,,,,Guardians,https://docs.google.com/spreadsheets/d/1j_kyn42jLrcU2PIMPdqV4kIbgdj4UuNDywD6Ab5Kc8o/edit,?,v3.1.2,,,,,,,,,,,Player & Stuff,https://docs.google.com/spreadsheets/d/1-VWYvbqn2EzjZFxytSkGKVVbCcwYbm8V-0N3IECVaWg/edit,?,v4.5.1,,,,,,,Perks Preset,https://docs.google.com/spreadsheets/d/1-VWYvbqn2EzjZFxytSkGKVVbCcwYbm8V-0N3IECVaWg/edit,?,,,Preset Preset,,,,,,
Damage,80,,100,,Defense Absolute,30,5000,5000,5000,0,,0,,0,,5000,,,,,,,,,true,UW Unlocked,Cooldown,180,12 | 180s | Cost 208 ? | Next 226 ?,,Energy Net,7,true,,,,,,Health Regen,0.35,,Swamp Range Slider,0,,,Cooldown,05 | 105s | Cost 260 ? | Next 300 ?,true,00 | 120s | Cost 0 ? | Next 100 ?,false,15 | 75s | Cost 660 ? | Maxed,true,00 | 120s | Cost 0 ? | Next 100 ?,false,00 | 120s | Cost 0 ? | Next 100 ?,false,,Astral Deliverance,,,,,Space Displacer,,,,,Project Funding,,,,,Magnetic Hook,,,,,,,,,,,,,,,,,Tier 22,0,0,0,0,0,false,,,,,,,,,,,,,,,
Attack Speed,77,,99,true,Thorn Damage,99,99,99,99,0,,0,,0,,99,,,,,,,,,UW+,,Golden Combo,Locked,Lo | Locked,,Super Tower,7,true,,,,,,Defense %,0.05,,Modules Section,false,,,Bonus,02 | x1.15 | Cost 140 ? | Next 180 ?,,08 | x1.45 | Cost 380 ? | Next 420 ?,,07 | x1.40 | Cost 340 ? | Next 380 ?,,00 | x1.05 | Cost 0 ? | Next 100 ?,,00 | x1.05 | Cost 0 ? | Next 100 ?,,,,,,,,Anti-Cube Portal,,,,,Singularity Harness,,,,,,,,,,,,,,,,,,,,,,Tier 23,0,0,0,0,0,,,,,,,,,,,,,,,,
Critical Factor,97,,99,true,Lifesteal,80,80,80,80,0,,0,,0,,80,,,,,,,,,Poison Swamp,,Damage,10,00 | x10 | Cost 0 ? | Next 5 ?,,Second Wind,7,true,,,,,,Defense Absolute,0.30000000000000004,,Auto Shatter Rare Modules,0,,,Range,01 | 22m | Cost 100 ? | Next 140 ?,Sync,17 | 54m | Cost 740 ? | Next 780 ?,Sync,20 | 60m | Cost 860 ? | Maxed,Sync,00 | 20m | Cost 0 ? | Next 100 ?,Sync,00 | 20m | Cost 0 ? | Next 100 ?,Sync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 24,0,0,0,0,0,,,,,,,,,,,,,,,,
Range,66,,80,true,Knockback Chance,0,80,80,80,0,,0,,0,,80,,,,,,,,,,,Duration,30,00 | 30s | Cost 0 ? | Next 10 ?,,Demon Mode,7,true,,,,,,Thorns,0.12000000000000001,,Daily Mission Shard Type,0,,Bot +,Maximum Power,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,Astral Deliverance,,,,,Anti-Cube Portal,,,,,Black Hole Digestor,,,,,Multiverse Nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage / Meter,16,,99,,Knockback Force,40,40,40,40,0,,0,,0,,40,,,,,,,,,false,UW Locked,Cooldown,125,00 | 125s | Cost 0 ? | Next 8 ?,,Energy Shield,7,false,,,,,,Knockback Force,0.32999999999999996,,Free Mission Reroll,0,,,,,,,,,,,,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Crit Chance,9,,50,true,Orb Speed,38,38,38,38,0,,0,,0,,38,,,,,,,,,UW+,,Death Creep,Locked,Lo | Locked,,Wave Accelerator,7,true,,,,,,Orb Speed,0.24,,Module Reroll Discount,0,,,,,,,,,,,,,,Ancestral 1*,204,17.682,,,Ancestral 3*,200,18.069,,,Ancestral 1*,201,2.123,,,Ancestral 5*,176,17.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Crit Multi,15,,40,,Orbs,0,4,4,4,0,,0,,0,,4,,,,,,,,,Black Hole,,Size,48,09 | 48m | Cost 76 ? | Next 89 ?,,Berserker,7,true,,,,,,Wall Rebuild,2,,Module Presets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Rend Armor Multiplier,0,,30,true,Shockwave Size,0,35,35,35,0,,0,,0,,35,,,,,,,,,,,Duration,32,17 | 32s | Cost 224 ? | Next 308 ?,,Ultimate Crit,7,false,,,,,,Utility,,,Bots Section,false,,,,,,,,,,,,,,Damage / Meter,Common,+0.005x,0.005,,Orbs,Ancestral,+2,2,,Package Chance,Ancestral,+15%,0.15,,Spotlight - Angle,Ancestral,+15?,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Speed Shots,1,,1,,Shockwave Frequency,40,40,40,40,0,,0,,0,,40,,,,,,,,,true,UW Unlocked,Cooldown,50,15 | 50s | Cost 262 ? | Maxed,,Nuke,7,false,,,,,,Cash,0.15000000000000002,,Bot Respec Discount,0,,,,,,,,,,,,,,Bounce Shot Range,Rare,+0.50m,0.5,,Land Mine Chance,Ancestral,+12%,0.12,,Coins / Kill Bonus,Mythic,+0.5x,0.5,,Death Wave - Quantity,Ancestral,+3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,68,,100,true,Land Mine Chance,50,50,50,50,0,,0,,0,,50,,,,,,,,,UW+,,Consume,Locked,Lo | Locked,,Area of Effect,7,false,,,,,,Coins,0.6699999999999999,,Bot Presets,,,,,,,,,,,,,,,Attack Speed,Common,+0.3,0.3,,Wall Rebuild,Mythic,-80s,-80,,Enemy Health Level Skip,Ancestral,+8%,0.08,,Death Wave - Cooldown,Ancestral,-13s,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Regen,76,,100,,Land Mine Damage,0,200,170,200,0,,0,,0,,200,,,,,,,,,Spotlight,,Multiplier,20.599999999999998,09 | x20.6 | Cost 95 ? | Next 112 ?,,,,,,,,,,Free Attack Upgrade,0.12000000000000001,,Bot Range,0,,,,,,,,,,,,,,Critical Chance,Common,+2%,0.02,,Orb Speed,Mythic,+2,2,,Enemy Attack Level Skip,Ancestral,+8%,0.08,,Chrono Field - Speed Reduction,Ancestral,+15%,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Absolute,14,,100,,Land Mine Radius,50,50,50,50,0,,0,,0,,50,,,,,,,,,,,Angle,38,08 | 38? | Cost 82 ? | Next 93 ?,,,,,,,,,,Free Defense Upgrade,0.1,,Bot Cooldown Sliders,0,,,,,,,,,,,,,,Critical Factor,Common,+2x,2,,Shockwave Frequency,Ancestral,-4s,-4,,Free Utility Upgrade,Rare,+4%,0.04,,Golden Tower - Cooldown,Ancestral,-12s,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense %,28,,50,true,Death Defy,75,75,75,75,0,,0,,0,,75,,,,,,,,,true,UW Unlocked,Quantity,3,02 | #3 | Cost 850 ? | Next 2500 ?,,,,,,,,,,Free Utility Upgrade,0.1,,Workshop Section,false,,,,,,,,,,,,,,Bounce Shot Chance,Rare,+2%,0.02,,Death Defy,Ancestral,+5%,0.05,,Free Attack Upgrade,Rare,+4%,0.04,,Black Hole - Size,Rare,+4.00m,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbs Speed,20,,20,true,Wall Health,1800,1800,1800,1800,0,,0,,0,,1800,,,,,,,,,UW+,,Light Range,Locked,Lo | Locked,,,,,,,,,,Recovery Amount,0.13,,Workshop Respec Discount,0,,,,,,,,,,,,,,Rapid Fire Chance,Rare,+2%,0.02,,Health Regen,Common,+20%,0.2,,,,,,,Poison Swamp - Damage,Common,+8x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Mine Damage,0,,20,,Wall Rebuild,300,300,300,300,0,,0,,0,,300,,,,,,,,,,,,,,,,,,,,,,,Enemy Attack Level Skip,0.02,,Workshop Presets,0,,,,,,,,,,,,,,,,,,,Defense %,Rare,+2%,0.02,,,,,,,Inner Land Mines - Damage,Common,+8x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Mine Decay,13,,35,true,Cash Bonus,149,149,149,149,0,,0,,0,,149,,,,,,,,,,,,,,,,,,,,,,,Enemy Health Level Skip,0.02,,Enhancements Discount,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banned,Banned,Banned,Banned,Banned,,,,,,,
Shockwave Size,20,,20,,Cash / Wave,149,149,149,149,0,,0,,0,,149,,,,,,,,,,,,,,,,,,,,,,,Theme & Song,,,Workshop Orb Adjuster,0,,,,,,,,,,,,,,Being Annihilator,,,,,Negative Mass Projector,,,,,Galaxy Compressor,,,,,Dimension Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Enemies Health / - Regen and Lifesteal,Coins / - Health,- Enemies Damage / - Damage,,,,,,,,,
Orb Boss Hit,10,,10,true,Coin / Kill Bonus,149,149,149,149,0,,0,,0,,149,,,,,,,,,,,,,,,,,,,,,,,TS Coin Bonus,1.9420000000000002,,Guardian Section,false,,,,,,,,,,,,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,,,,,,,,,,,,,,,,,,,,,,,,Interest,- Enemies Health / - Regen and Lifesteal,All Coin Bonus,,,,,,,,,
Wall Health,50,,50,,Coin / Wave,149,149,149,149,0,,0,,0,,149,,,,,,,,,,,,,,,,,,,,,,,,,,Guardian Respec Discount,0,,,,,,,,,,,,,,Ancestral 1*,204,17.682,,,Ancestral 1*,200,16.85,,,Ancestral 2*,201,2.166,,,Ancestral 2*,176,16.174,,,,,,,,,,,,,,,,,,,,,,,,,,Defense Absolute,Ranged Distance reduced / Ranged Damage,Interest,,,,,,,,,
Wall Rebuild,20,,20,true,Free Attack Upgrade,99,99,99,99,0,,0,,0,,99,,,,,,,,,,,,,,,,,,,,,,,,,,Guardian Presets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Enemies Speed / Enemies Damage,- Enemies Speed / Enemies Damage,Defense Absolute,,,,,,,,,
Wall Regen,23,,30,,Free Defense Upgrade,99,99,99,99,0,,0,,0,,99,,,,,,,,,,,,,,,,,,,,,,,,,,Attack Section,false,,,,,,,,,,,,,,Critical Factor,Mythic,+12x,12,,Health Regen,Ancestral,+400%,4,,Enemy Attack Level Skip,Ancestral,+8%,0.08,,Spotlight - Angle,Ancestral,+15?,15,,,,,,,,,,,,,,,,,,,,,,,,,Orbs,Lifesteal / - Knockback Force,Land Mine Damage,,,,,,,,,
Wall Thorns,16,,20,,Free Utility Upgrade,99,99,99,99,0,,0,,0,,99,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,0,,,,,,,,,,,,,,Multishot Targets,Mythic,+3,3,,Defense %,Ancestral,+8%,0.08,,Coins / Kill Bonus,Ancestral,+0.6x,0.6,,Spotlight - Bonus,Ancestral,+20x,20,,,,,,,,,,,,,,,,,,,,,,,,,Land Mine Damage,Interest,Health Regen,,,,,,,,,
Wall Invincibility,0,,10,true,Interest / Wave,99,99,99,99,0,,0,,0,,99,,,,,,,,,,,,,,,,,,,,,,,,,,Attack Speed,0,,,,,,,,,,,,,,Attack Speed,Mythic,+3,3,,Orbs,Ancestral,+2,2,,Free Defense Upgrade,Ancestral,+12%,0.12,,Poison Swamp - Cooldown,Rare,-2s,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wall Fortification,48,,60,true,Recovery Amount,300,300,300,300,0,,0,,0,,300,,,,,,,,,,,,,,,,,,,,,,,,,,Critical Chance,0,,,,,,,,,,,,,,Bounce Shot Chance,Mythic,+9%,0.09,,Wall Health,Ancestral,+120%,1.2,,Enemy Health Level Skip,Ancestral,+8%,0.08,,Chrono Field - Speed Reduction,Ancestral,+15%,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Thorns,10,,10,,Max Amount,500,500,500,500,0,,0,,0,,500,,,,,,,,,,,,,,,,,,,,,,,,,,Crit Factor,0,,,,,,,,,,,,,,Rapid Fire Chance,Rare,+2%,0.02,,Land Mine Radius,Epic,+0.15,0.15,,Recovery Amount,Epic,+3%,0.03,,Chain Lightning - Damage,Ancestral,+250x,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Bonus,36,,99,,Package Chance,60,60,60,60,0,,0,,0,,60,,,,,,,,,,,,,,,,,,,,,,,,,,Damage / Meter,0,,,,,,,,,,,,,,Rapid Fire Duration,Mythic,+2.5s,2.5,,Orb Speed,Ancestral,+3,3,,Package Chance,Ancestral,+15%,0.15,,Chain Lightning - Quantity,Ancestral,+4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash / Wave,8,,99,true,Enemy Attack Level Skip,480,699,400,699,0,,0,,0,,699,,,,,,,,,,,,,,,,,,,,,,,,,,Multishot Chance,0,,,,,,,,,,,,,,Critical Chance,Common,+2%,0.02,,Land Mine Chance,Rare,+2%,0.015,,Free Attack Upgrade,Ancestral,+12%,0.12,,Inner Land Mines - Damage,Common,+8x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coins / Kill Bonus,99,,99,,Enemy Health Level Skip,480,699,400,699,0,,0,,0,,699,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid Fire Chance,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coins / Wave,6,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bounce Shot Chance,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,11,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Super Crit Chance,0,,,,,,,,,,,,,,Death Penalty,,,,,Space Displacer,,,,,Singularity Harness,,,,,Harmony Conductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Interest,8,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Super Crit Mult,0,,,,,,,,,,,,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package After Boss,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rend Armor Chance,0,,,,,,,,,,,,,,Ancestral,200,16.24,,,Ancestral 4*,200,18.678,,,Ancestral 3*,201,2.21,,,Ancestral 5*,176,17.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery Package Amount,0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rend Armor Mult,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery Package Max,0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defense Section,false,,,,,,,,,,,,,,Multishot Chance,Mythic,+10%,0.1,,Land Mine Chance,Ancestral,+12%,0.12,,Coins / Kill Bonus,Ancestral,+0.6x,0.6,,Death Wave - Damage,Common,+8x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery Package Chance,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,0,,,,,,,,,,,,,,Bounce Shot Chance,Mythic,+9%,0.09,,Defense %,Legendary,+5%,0.05,,Free Utility Upgrade,Mythic,+10%,0.1,,Black Hole - Size,Common,+2.00m,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy Attack Level Skip,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Regen,0,,,,,,,,,,,,,,Bounce Shot Targets,Mythic,+3,3,,Shockwave Size,Ancestral,+1,1,,Enemy Health Level Skip,Ancestral,+8%,0.08,,Spotlight - Bonus,Common,+1.2x,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy Health Level Skip,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defense %,0,,,,,,,,,,,,,,Multishot Targets,Mythic,+3,3,,Wall Rebuild,Ancestral,-100s,-100,,Enemy Attack Level Skip,Ancestral,+8%,0.08,,Chain Lightning - Damage,Common,+8x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missile Despawn Time,0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defense Absolute,0,,,,,,,,,,,,,,Critical Factor,Common,+2x,2,,Death Defy,Ancestral,+5%,0.05,,Free Attack Upgrade,Epic,+6%,0.06,,Inner Land Mines - Damage,Rare,+15x,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missiles Explosion,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thorns Damage,0,,,,,,,,,,,,,,Rapid Fire Duration,Epic,+0.8s,0.8,,Land Mine Damage,Rare,+30%,0.3,,Package Chance,Ancestral,+15%,0.15,,Poison Swamp - Damage,Common,+8x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missile Radius,0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knockback Chance,0,,,,,,,,,,,,,,,,,,,Health Regen,Common,+20%,0.2,,Free Defense Upgrade,Rare,+4%,0.04,,Chain Lightning - Chance,Common,+2%,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrono Field Duration,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knockback Force,0,,,,,,,,,,,,,,,,,,,Land Mine Radius,Rare,+0.10,0.1,,Cash Bonus,Common,+0.1x,0.1,,Poison Swamp - Cooldown,Rare,-2s,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrono Field Damage Reduction,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orb Speed,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrono Field Reduction %,25,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orbs,0,,,,,,,,,,,,,,Havoc Bringer,,,,,Wormhole Redirector,,,,,Pulsar Harvester,,,,,Om Chip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swamp Radius,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shockwave Size,0,,,,,,,,,,,,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swamp Stun,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shockwave Frequency,0,,,,,,,,,,,,,,Ancestral 5*,204,20.248,,,Ancestral,200,16.24,,,Ancestral 4*,201,2.253,,,Ancestral 3*,176,16.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swamp Stun Chance,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Death Defy,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swamp Stun Time,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall Health,0,,,,,,,,,,,,,,Critical Chance,Common,+2%,0.02,,Health Regen,Mythic,+200%,2,,Enemy Health Level Skip,Ancestral,+8%,0.08,,Spotlight - Angle,Ancestral,+15?,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Tower Bonus,25,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall Rebuild,0,,,,,,,,,,,,,,Attack Range,Common,+2.00m,2,,Defense %,Legendary,+5%,0.05,,Coins / Kill Bonus,Ancestral,+0.6x,0.6,,Chrono Field - Speed Reduction,Ancestral,+15%,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Tower Duration,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utility Section,false,,,,,,,,,,,,,,Attack Speed,Common,+0.3,0.3,,Wall Health,Mythic,+90%,0.9,,Free Utility Upgrade,Ancestral,+12%,0.12,,Chain Lightning - Chance,Epic,+6%,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain Lightning Shock,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cash Bonus,0,,,,,,,,,,,,,,Critical Factor,Common,+2x,2,,Land Mine Radius,Rare,+0.10,0.1,,Enemy Attack Level Skip,Ancestral,+8%,0.08,,Spotlight - Bonus,Mythic,+15x,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shock Chance,18,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cash / Wave,0,,,,,,,,,,,,,,Rapid Fire Duration,Epic,+0.8s,0.8,,Orb Speed,Epic,+1,1,,Package Chance,Epic,+5%,0.05,,Poison Swamp - Damage,Common,+8x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shock Multiplier,14,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coins / Kill,0,,,,,,,,,,,,,,Rapid Fire Chance,Rare,+2%,0.02,,,,,,,Free Defense Upgrade,Ancestral,+12%,0.12,,Chain Lightning - Damage,Common,+8x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Wave Health,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coins / Wave,0,,,,,,,,,,,,,,Bounce Shot Chance,Rare,+2%,0.02,,,,,,,Cash Bonus,Rare,+0.2x,0.2,,Black Hole - Size,Common,+2.00m,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Wave Coin Bonus,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Attack Upgrade,0,,,,,,,,,,,,,,,,,,,,,,,,Free Attack Upgrade,Common,+2%,0.02,,Inner Land Mines - Damage,Common,+8x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mine Blast Radius,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Defense Upgrade,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mine Rotation Speed,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Utility Upgrade,0,,,,,,,,,,,,,,Shrink Ray,,,,,Sharp Fortitude,,,,,Project Funding,,,,,Magnetic Hook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrono Field Range,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interest / Wave,0,,,,,,,,,,,,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missile Amplifier,0,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recovery Amount,0,,,,,,,,,,,,,,Ancestral,200,16.24,,,Ancestral 2*,200,17.459,,,Ancestral 1*,201,2.123,,,Ancestral 5*,176,17.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missile Barrage,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Recovery,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missile Barrage Quantity,0,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy Attack Skip,0,,,,,,,,,,,,,,Attack Range,Common,+2.00m,2,,Health Regen,Ancestral,+400%,4,,Enemy Health Level Skip,Ancestral,+8%,0.08,,Chain Lightning - Damage,Common,+8x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mine Stun,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy Health Skip,0,,,,,,,,,,,,,,Critical Factor,Common,+2x,2,,Knockback Force,Mythic,+0.9,0.9,,Package Chance,Ancestral,+15%,0.15,,Inner Land Mines - Damage,Common,+8x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hole Damage,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultimate Weapons Section,false,,,,,,,,,,,,,,,,,,,Defense %,Ancestral,+8%,0.08,,Free Utility Upgrade,Ancestral,+12%,0.12,,Chain Lightning - Chance,Rare,+4%,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Black Hole,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultimate Damage,0,,,,,,,,,,,,,,,,,,,Wall Health,Ancestral,+120%,1.2,,Free Defense Upgrade,Common,+2%,0.02,,Poison Swamp - Damage,Rare,+15x,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
