Oracle Outputs (Effective Paths),,,,,,,,,,,,,,,,,,
EP id,1FyCGG8Mxpu0_oC8K3NV5wUToXLVl-OKE3L_rK9XLOXc,,,,,,,,,,,,,,,,,
EP Base URL,https://docs.google.com/spreadsheets/d/1FyCGG8Mxpu0_oC8K3NV5wUToXLVl-OKE3L_rK9XLOXc,,,,,,,,,,,,,,,,,
Note: Machine-facing EP bridge for TowerSim. Do not optimise for visual review. Use key/type/unit/value as the stable contract.,,,,,,,,,,,,,,,,,,
Types: raw=direct numeric source; parsed_raw=numeric parsed from EP notation; multiplier=effective factor; chance=probability/percent; rate=frequency/per-second; dps=damage contribution; bonus=bonus value; effect=non-multiplier effect value; preset/scenario=context fields; helper_score/equiv/ratio=EP helper metric.,,,,,,,,,,,,,,,,,,
suite,key,label,type,unit,value,source_tab,status,audit_note,,,,,,,,,,
eecon,eecon_perk_death_wave_quantity_active,eEcon perk Death Wave quantity active,guess,boolean,,eEcon,active,eEcon perk active flag from EP.,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
uw,uw_gt_coin_bonus,Golden Tower coin bonus,uw_stat,x,,eEcon,active,eEcon final UW/econ summary.,,,,,,,,,,
uw,uw_gt_duration,Golden Tower duration,uw_stat,seconds,,eEcon,active,eEcon final Golden Tower duration.,,,,,,,,,,
uw,uw_gt_cooldown,Golden Tower cooldown,uw_stat,seconds,,eEcon,active,eEcon final Golden Tower cooldown.,,,,,,,,,,
uw,uw_gt_uptime,Golden Tower uptime,uw_stat,ratio,,eEcon,active,eEcon final uptime summary.,,,,,,,,,,
uw,uw_bh_coin_bonus,Black Hole coin bonus,uw_stat,x,,eEcon,active,eEcon final UW/econ summary.,,,,,,,,,,
uw,uw_bh_duration,Black Hole duration,uw_stat,seconds,,eEcon,active,eEcon final Black Hole duration.,,,,,,,,,,
uw,uw_bh_cooldown,Black Hole cooldown,uw_stat,seconds,,eEcon,active,eEcon final Black Hole cooldown.,,,,,,,,,,
uw,uw_bh_uptime,Black Hole uptime,uw_stat,ratio,,eEcon,active,eEcon final uptime summary.,,,,,,,,,,
uw,uw_dw_coin_bonus,Death Wave coin bonus,uw_stat,x,,eEcon,active,eEcon final UW/econ summary.,,,,,,,,,,
uw,uw_dw_quantity,Death Wave quantity,uw_stat,count,,eEcon,active,eEcon final Death Wave quantity.,,,,,,,,,,
uw,uw_dw_cooldown,Death Wave cooldown,uw_stat,seconds,,eEcon,active,eEcon final Death Wave cooldown.,,,,,,,,,,
uw,uw_dw_uptime,Death Wave uptime,uw_stat,ratio,,eEcon,active,eEcon final uptime summary.,,,,,,,,,,
uw,uw_sl_coin_bonus,Spotlight coin bonus,uw_stat,x,,eEcon,active,eEcon final UW/econ summary.,,,,,,,,,,
uw,uw_sl_angle,Spotlight angle,uw_stat,degrees,,eEcon,active,eEcon final Spotlight angle.,,,,,,,,,,
uw,uw_sl_quantity,Spotlight quantity,uw_stat,count,,eEcon,active,eEcon final Spotlight quantity.,,,,,,,,,,
uw,uw_sl_uptime,Spotlight uptime,uw_stat,ratio,,eEcon,active,eEcon final uptime summary.,,,,,,,,,,
uw,bot_golden_bot_coin_bonus,Golden Bot coin bonus,uw_stat,x,,eEcon,active,eEcon final bot/econ summary.,,,,,,,,,,
uw,bot_golden_bot_duration,Golden Bot duration,uw_stat,seconds,,eEcon,active,eEcon final Golden Bot duration.,,,,,,,,,,
uw,bot_golden_bot_cooldown,Golden Bot cooldown,uw_stat,seconds,,eEcon,active,eEcon final Golden Bot cooldown.,,,,,,,,,,
uw,bot_golden_bot_uptime,Golden Bot uptime,uw_stat,ratio,,eEcon,active,eEcon final uptime summary.,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ehp,ehp_disco_defense_multiplier,eHP Disco Defense multiplier,multiplier,x,,eHP,active,EP-calculated Disco Defense multiplier; used as final EPH_HEALTH argument in max-wave calcs.,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
medals,medal_contract_version,Medal planning contract version,context,text,v2.0,Tower Custom Calcs,active,Canonical live interface for Medal Planning and Medal Engine.,,,,,,,,,,
medals,medal_source_status,Medal source status,derived,text,OK,Home / _IDS / DVT_Bot,active,Must be OK before optimisation.,,,,,,,,,,
medals,bot_source_version,Bot source version,context,text,v3.3.1,_IDS,active,Home-selected EP bot source version.,,,,,,,,,,
medals,bot_range_relic_m,Bot range relic,raw,m,10,_IDS,active,Permanent relic bonus applied to every bot range.,,,,,,,,,,
medals,bot_unlocked_count,Current unlocked bot count,derived,count,4,_IDS,active,Used to reconcile refundable unlock spend.,,,,,,,,,,
medals,bot_unlock_refundable_spend,Current refundable bot unlock spend,derived,medals,1950,_IDS / game unlock curve,active,Refundable in a bot respec.,,,,,,,,,,
medals,bot_flame_unlocked,Flame Bot unlocked,raw,boolean,true,_IDS,active,Live unlock state.,,,,,,,,,,
medals,bot_flame_dr_level,Flame Bot Damage reduction medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_flame_cooldown_level,Flame Bot Cooldown medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_flame_damage_level,Flame Bot Damage medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_flame_range_level,Flame Bot Range medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_thunder_unlocked,Thunder Bot unlocked,raw,boolean,false,_IDS,active,Live unlock state.,,,,,,,,,,
medals,bot_thunder_duration_level,Thunder Bot Duration medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_thunder_cooldown_level,Thunder Bot Cooldown medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_thunder_linger_level,Thunder Bot Linger medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_thunder_range_level,Thunder Bot Range medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_golden_unlocked,Golden Bot unlocked,raw,boolean,true,_IDS,active,Live unlock state.,,,,,,,,,,
medals,bot_golden_duration_level,Golden Bot Duration medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_golden_cooldown_level,Golden Bot Cooldown medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_golden_bonus_level,Golden Bot Bonus medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_golden_range_level,Golden Bot Range medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_amplify_unlocked,Amplify Bot unlocked,raw,boolean,true,_IDS,active,Live unlock state.,,,,,,,,,,
medals,bot_amplify_duration_level,Amplify Bot Duration medal level,raw,level,19,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_amplify_cooldown_level,Amplify Bot Cooldown medal level,raw,level,15,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_amplify_bonus_level,Amplify Bot Bonus medal level,raw,level,30,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_amplify_range_level,Amplify Bot Range medal level,raw,level,18,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_bot_unlocked,Bot Bot unlocked,raw,boolean,true,_IDS,active,Live unlock state.,,,,,,,,,,
medals,bot_bot_duration_level,Bot Bot Duration medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_bot_cooldown_level,Bot Bot Cooldown medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_bot_bonus_level,Bot Bot Bonus medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_bot_range_level,Bot Bot Range medal level,raw,level,0,_IDS,active,Live medal level.,,,,,,,,,,
medals,bot_flame_plus_unlocked,Wildfire unlocked,raw,boolean,false,_IDS,optional,Bot+ is excluded unless this becomes TRUE.,,,,,,,,,,
medals,bot_thunder_plus_unlocked,Titan Shock unlocked,raw,boolean,false,_IDS,optional,Bot+ is excluded unless this becomes TRUE.,,,,,,,,,,
medals,bot_golden_plus_unlocked,Bonus Cell unlocked,raw,boolean,false,_IDS,optional,Bot+ is excluded unless this becomes TRUE.,,,,,,,,,,
medals,bot_amplify_plus_unlocked,Echoing Shot unlocked,raw,boolean,false,_IDS,optional,Bot+ is excluded unless this becomes TRUE.,,,,,,,,,,
medals,bot_bot_plus_unlocked,Maximum Power unlocked,raw,boolean,false,_IDS,optional,Bot+ is excluded unless this becomes TRUE.,,,,,,,,,,
medals,lab_flame_bot_cooldown,Flame Bot cooldown lab,raw,level,25,_IDS,active,Live supporting lab level.,,,,,,,,,,
medals,lab_thunder_bot_cooldown,Thunder Bot cooldown lab,raw,level,0,_IDS,active,Live supporting lab level.,,,,,,,,,,
medals,lab_golden_bot_cooldown,Golden Bot cooldown lab,raw,level,25,_IDS,active,Live supporting lab level.,,,,,,,,,,
medals,lab_amplify_bot_cooldown,Amplify Bot cooldown lab,raw,level,20,_IDS,active,Live supporting lab level.,,,,,,,,,,
medals,lab_bot_bot_cooldown,Bot Bot cooldown lab,raw,level,25,_IDS,active,Live supporting lab level.,,,,,,,,,,
medals,lab_golden_bot_duration,Golden Bot duration lab,raw,level,20,_IDS,active,Live supporting lab level.,,,,,,,,,,
medals,lab_amplify_bot_duration,Amplify Bot duration lab,raw,level,7,_IDS,active,Live supporting lab level.,,,,,,,,,,
medals,lab_bot_bot_duration,Bot Bot duration lab,raw,level,11,_IDS,active,Live supporting lab level.,,,,,,,,,,
medals,bot_flame_refundable_stat_spend,Flame Bot refundable stat spend,derived,medals,0,EP Export / DVT_Bot,active,Exact cumulative medal spend for current stat levels.,,,,,,,,,,
medals,bot_thunder_refundable_stat_spend,Thunder Bot refundable stat spend,derived,medals,0,EP Export / DVT_Bot,active,Exact cumulative medal spend for current stat levels.,,,,,,,,,,
medals,bot_golden_refundable_stat_spend,Golden Bot refundable stat spend,derived,medals,0,EP Export / DVT_Bot,active,Exact cumulative medal spend for current stat levels.,,,,,,,,,,
medals,bot_amplify_refundable_stat_spend,Amplify Bot refundable stat spend,derived,medals,42760,EP Export / DVT_Bot,active,Exact cumulative medal spend for current stat levels.,,,,,,,,,,
medals,bot_bot_refundable_stat_spend,Bot Bot refundable stat spend,derived,medals,0,EP Export / DVT_Bot,active,Exact cumulative medal spend for current stat levels.,,,,,,,,,,
medals,bot_refundable_spend_total,Total refundable bot medal spend,derived,medals,44710,EP Export,active,Canonical bot-respec refund pool before adding unspent medals.,,,,,,,,,,
